lon,lat
7.867208,58.407694
7.922726,58.421341
7.936771,58.419133
7.993216,58.415511
8.007792,58.414275
8.040652,58.411801
8.118298,58.405441
8.134993,58.403851
7.806919,58.373111
7.853957,58.400009
7.889070,58.374833
7.911861,58.392721
7.932796,58.392456
7.967246,58.379736
8.021704,58.371918
8.038532,58.376556
8.089280,58.400207
8.143208,58.373111
8.168118,58.401466
8.221649,58.396961
8.253184,58.394311
8.298500,58.390601
8.315195,58.389011
8.431531,58.379471
8.469427,58.376291
7.798572,58.354428
7.858462,58.350586
7.870653,58.335878
7.902055,58.356416
7.961946,58.349791
7.976389,58.342304
8.011899,58.341708
8.056287,58.359066
8.069007,58.354561
8.132343,58.348731
8.154736,58.351513
8.178056,58.364763
8.222974,58.336954
8.259412,58.338528
8.273192,58.367413
8.335600,58.361186
8.353091,58.355886
8.400924,58.367413
8.422389,58.357078
8.468234,58.341840
8.482015,58.350188
8.534088,58.349791
8.580861,58.338292
8.640221,58.347085
8.649761,58.348929
8.690439,58.346610
7.787839,58.314810
7.817917,58.314943
7.856342,58.325013
7.890263,58.318123
7.898080,58.318321
7.931338,58.326470
7.964861,58.301427
8.025149,58.331240
8.044495,58.302090
8.072320,58.321303
8.115250,58.326073
8.149966,58.328524
8.222577,58.331638
8.251462,58.312140
8.272397,58.330313
8.307908,58.302885
8.432989,58.323423
8.449949,58.332963
8.478569,58.316798
8.556083,58.313267
8.606963,58.327133
7.779492,58.288442
7.804799,58.283540
7.847597,58.296922
7.877410,58.285196
7.923388,58.275590
7.980099,58.281809
8.023559,58.278902
8.034292,58.269495
8.083847,58.297055
8.118695,58.277975
8.164143,58.282215
8.177791,58.289237
8.227479,58.300500
8.238344,58.281950
8.293862,58.286985
8.330035,58.272161
8.337190,58.298910
8.399996,58.269658
8.415896,58.274486
8.470619,58.295995
8.504407,58.295708
8.509707,58.267772
8.555288,58.292550
8.591593,58.298910
7.800029,58.254654
7.856475,58.255698
7.900200,58.257207
7.956381,58.250566
7.964994,58.262627
8.021704,58.233549
8.041977,58.249619
8.067682,58.236899
8.102000,58.262207
8.154603,58.251955
8.170636,58.261942
8.224167,58.249487
8.245102,58.237694
8.285250,58.264857
8.303402,58.258033
8.343285,58.262494
8.373231,58.249715
8.405031,58.266315
8.447829,58.266182
8.522427,58.254654
7.789694,58.213049
7.799632,58.214772
7.832757,58.213181
7.895033,58.221264
7.910933,58.225902
7.939686,58.227359
7.984604,58.211989
8.006599,58.216097
8.050855,58.202316
8.080137,58.205000
8.107300,58.210635
8.169311,58.201588
8.211579,58.202714
8.251594,58.215522
8.319833,58.216688
8.365943,58.204672
8.381446,58.218482
7.747956,58.168926
7.782142,58.178864
7.805859,58.185489
7.858727,58.169257
7.867075,58.182044
7.897153,58.165878
7.932531,58.177748
7.966186,58.179924
8.024884,58.195338
8.035882,58.181040
8.084112,58.181536
8.100675,58.176461
8.160036,58.182303
8.169311,58.189331
8.231322,58.198871
8.245102,58.179129
8.275577,58.192114
8.304330,58.184694
7.744511,58.157266
7.780022,58.146931
7.818314,58.154881
7.875423,58.139268
7.923256,58.146003
7.955586,58.143174
8.040254,58.161392
8.081330,58.155871
8.111938,58.156603
8.161228,58.145473
8.194089,58.154218
8.206411,58.161771
8.267627,58.152231
8.275047,58.132621
7.731128,58.107313
7.786117,58.101085
7.844550,58.125134
7.881650,58.108903
7.898875,58.111023
7.942866,58.121016
7.966849,58.122127
8.074837,58.130191
8.131283,58.116402
8.139498,58.107975
8.189981,58.129176
8.822808,58.101218
10.591571,58.124008
7.737356,58.076572
7.773131,58.077782
7.841237,58.087305
7.862437,58.074872
7.902188,58.074055
7.993481,58.080886
7.998119,58.085450
8.052710,58.073260
8.089148,58.081607
7.715493,58.045832
7.775119,58.050602
7.823747,58.057227
7.837130,58.055637
7.917293,58.056300
11.008421,58.045037
7.725298,58.017874
9.425558,58.024102
11.503711,58.028607
11.549424,57.997493
11.584935,58.014550
11.625878,58.014827
11.700079,58.006347
11.735854,58.002637
7.802149,57.972426
9.355729,57.992434
11.540282,57.992409
11.562542,57.977594
11.604545,57.973486
11.791505,57.973486
11.820125,57.990049
11.831255,57.976666
11.877101,57.986736
11.927451,57.980641
11.952494,57.966994
11.993437,57.973486
12.008675,57.971234
11.542004,57.946891
11.567577,57.949053
11.606665,57.941421
11.632635,57.932543
11.732939,57.946809
11.786470,57.956261
11.808597,57.936982
11.850733,57.937181
11.897241,57.958315
11.928246,57.957586
11.990124,57.959839
11.345505,57.923961
11.658871,57.902863
11.681131,57.904453
11.727771,57.901008
11.746322,57.922076
11.794817,57.904597
11.819197,57.914288
11.858683,57.912138
11.875511,57.917438
11.924006,57.903118
11.972899,57.909753
7.751931,57.864239
9.229588,57.871063
11.590102,57.885425
11.604147,57.887382
11.645355,57.891468
11.706306,57.883915
11.772689,57.870665
11.808067,57.877820
11.848480,57.864570
11.875643,57.892484
11.924404,57.862848
11.937786,57.882500
11.968527,57.874684
11.680203,57.855560
11.718364,57.828000
11.750297,57.853572
11.791107,57.843635
11.823967,57.850525
11.844770,57.828132
11.868355,57.851784
11.909828,57.851254
11.934474,57.837805
8.627501,57.800837
9.494856,57.821772
10.140138,57.794224
10.746730,57.818857
11.703921,57.810081
11.750694,57.805474
11.805947,57.795735
11.842783,57.808986
11.892338,57.802111
11.912346,57.800244
11.937389,57.813756
8.974125,57.770096
9.710833,57.775662
10.094293,57.768809
10.295033,57.767778
10.757860,57.764780
10.806753,57.778016
11.618458,57.778164
11.810055,57.761484
11.863453,57.761484
11.883196,57.771339
11.922284,57.785790
10.535523,57.731406
10.569311,57.733508
10.601244,57.728640
11.173120,57.752606
11.308272,57.742006
11.654763,57.731785
11.682191,57.731406
11.738504,57.730412
11.789915,57.727729
11.811777,57.735723
11.865970,57.737316
11.917381,57.745956
9.313461,57.722263
9.351622,57.693062
9.537256,57.712282
10.480137,57.710736
10.562818,57.721468
10.598726,57.719801
10.629599,57.702123
11.651848,57.711013
11.661918,57.704627
11.713196,57.710009
11.739696,57.699473
11.785410,57.706161
11.896048,57.700986
11.904926,57.718288
10.463707,57.660385
10.606279,57.678670
10.640067,57.674894
10.662194,57.686704
10.686707,57.681516
10.742888,57.685693
11.484366,57.667917
11.659931,57.689153
11.662713,57.688343
11.695176,57.680080
11.777592,57.680790
11.828340,57.689933
11.861333,57.682090
11.885051,57.674015
8.893299,57.633639
9.069394,57.643690
11.465816,57.629512
11.496689,57.638655
11.667881,57.638390
11.794950,57.648460
11.805020,57.627392
11.856960,57.649145
11.878956,57.654953
9.772977,57.594452
9.973451,57.592026
10.186646,57.588967
10.240707,57.597977
10.297683,57.590424
10.306693,57.602482
10.362343,57.589232
10.384604,57.605662
10.415211,57.600495
11.043004,57.601621
11.652908,57.603012
11.717436,57.594664
11.779314,57.616029
11.799852,57.603357
11.865043,57.610300
9.945494,57.583386
9.980872,57.578938
10.019959,57.567700
10.046327,57.577439
10.099990,57.577439
10.108470,57.568098
10.135501,57.578950
10.188104,57.570888
10.229709,57.577704
10.239382,57.577837
10.272905,57.586979
10.305765,57.585919
10.340481,57.579228
10.397721,57.569354
10.411501,57.587907
11.072684,57.577247
11.643765,57.556138
11.785012,57.573994
9.501349,57.546354
9.912236,57.535370
9.944434,57.542856
9.974511,57.551469
10.004192,57.552264
10.056662,57.533051
10.083030,57.542326
10.111121,57.550011
10.161471,57.527751
10.199632,57.537111
10.213279,57.547958
10.237527,57.552926
10.294503,57.543121
10.313715,57.534946
10.342071,57.531726
10.405539,57.553191
10.418259,57.551105
8.841226,57.504257
9.115637,57.512915
9.827965,57.490783
9.859500,57.507611
9.903756,57.514236
9.949999,57.500721
10.023405,57.515368
10.047785,57.495951
10.080380,57.491976
10.126623,57.517482
10.167301,57.496481
10.176311,57.515561
10.227059,57.504828
10.258727,57.518110
10.279662,57.499581
10.321665,57.492017
10.351478,57.511122
10.393614,57.487206
10.417596,57.495023
10.440917,57.506418
10.474572,57.495834
10.608929,57.494228
11.324172,57.497276
9.792984,57.464548
9.802127,57.467198
9.832602,57.469583
9.890903,57.455935
9.923498,57.455803
9.963381,57.466668
10.031885,57.454345
10.043015,57.453550
10.071768,57.463620
10.118938,57.456200
10.138946,57.456995
10.196319,57.476058
10.205462,57.474331
10.250645,57.458148
10.274627,57.481932
10.310270,57.481773
10.386856,57.453683
10.418656,57.468907
10.487822,57.475921
10.521345,57.463245
10.686972,57.470800
9.271988,57.449310
9.843865,57.424003
9.885735,57.422943
9.901901,57.437609
9.963116,57.445468
9.996639,57.449929
10.030030,57.442916
10.040365,57.421617
10.081573,57.431025
10.118673,57.444726
10.165314,57.429700
10.185189,57.442641
10.223349,57.427514
10.243887,57.423460
10.271580,57.425725
10.332133,57.434603
10.338626,57.448250
10.391229,57.436855
10.406996,57.431423
10.445554,57.452358
10.495905,57.440391
10.539630,57.440965
10.547845,57.438558
11.645090,57.442288
8.725022,57.387167
8.985653,57.391902
9.750319,57.415787
9.811932,57.415787
9.878845,57.406777
9.909056,57.413932
9.958876,57.385842
9.974909,57.416715
10.012539,57.392865
10.049110,57.418305
10.071768,57.394852
10.107808,57.388360
10.165579,57.406512
10.178961,57.416649
10.226794,57.392865
10.269195,57.386474
10.286817,57.408897
10.305368,57.411229
10.357176,57.402272
10.391229,57.391805
10.414019,57.394587
10.447409,57.405209
10.497097,57.415257
10.521080,57.416967
9.714013,57.368860
9.757209,57.373254
9.781457,57.372459
9.828760,57.369412
9.839890,57.359938
9.892626,57.381867
9.905478,57.365039
9.934894,57.360799
9.967489,57.353644
10.001674,57.358878
10.057325,57.361815
10.081440,57.373254
10.108205,57.379151
10.138681,57.361594
10.179624,57.355367
10.234082,57.373056
10.255945,57.371505
10.283240,57.366828
10.317028,57.372194
10.353598,57.364493
10.374666,57.381536
10.415741,57.369147
10.463310,57.366629
10.503457,57.366762
10.513263,57.353114
8.817243,57.324096
8.948950,57.339209
9.688441,57.344369
9.702088,57.344634
9.745019,57.346887
9.769134,57.321711
9.807427,57.334432
9.836577,57.342779
9.896336,57.344502
9.920318,57.332046
9.932641,57.347549
9.966826,57.340659
10.017707,57.347284
10.061697,57.346224
10.099328,57.341057
10.122383,57.345827
10.186646,57.328071
10.227059,57.322771
10.269062,57.330613
10.290660,57.345827
10.313053,57.335425
10.353068,57.342117
10.380496,57.323036
10.438532,57.327541
10.472717,57.324626
10.504782,57.325708
10.514720,57.333121
11.129262,57.319459
9.627888,57.291501
9.674396,57.297994
9.711098,57.311707
9.756414,57.286135
9.787949,57.313629
9.828362,57.301493
9.846913,57.297596
9.871425,57.286731
9.922968,57.285538
9.955431,57.284081
9.974909,57.300379
10.023405,57.306739
10.061830,57.312436
10.089655,57.288188
10.107808,57.313761
10.138548,57.284213
10.200427,57.308196
10.213942,57.293709
10.258462,57.296669
10.286552,57.295653
10.312125,57.301306
10.338626,57.300246
10.395204,57.303029
10.439327,57.311906
10.447939,57.292048
10.490737,57.300301
10.922162,57.289077
11.060759,57.301041
11.169940,57.316146
8.013489,57.273628
9.583500,57.255581
9.611325,57.278648
9.657965,57.268711
9.680093,57.258066
9.695728,57.277257
9.742899,57.268711
9.772977,57.279708
9.812727,57.265493
9.836710,57.261423
9.874473,57.252148
9.912898,57.275866
9.958081,57.269009
9.991472,57.270834
10.005119,57.250823
10.062095,57.266723
10.079983,57.253606
10.101315,57.257581
10.150341,57.263543
10.183334,57.271626
10.235009,57.251867
10.250247,57.271493
10.285227,57.253473
10.311993,57.250558
10.353466,57.271695
10.373473,57.274232
10.432172,57.253341
10.444362,57.265133
10.503722,57.274844
10.539100,57.261026
10.565866,57.267386
10.944555,57.277323
10.966815,57.264603
11.001398,57.255118
11.029753,57.252281
11.060096,57.272724
11.562939,57.274408
9.537256,57.222070
9.584560,57.228298
9.600725,57.246583
9.628815,57.241548
9.667903,57.220215
9.694271,57.217963
9.742899,57.226045
9.777084,57.222070
9.809945,57.244860
9.851683,57.240974
9.888385,57.241018
9.930653,57.243668
9.937809,57.248703
9.982859,57.245390
10.005384,57.248041
10.057192,57.216240
10.071503,57.219950
10.113241,57.235718
10.191019,57.229755
10.230637,57.230179
10.254355,57.234790
10.300333,57.237573
10.305368,57.237308
10.352273,57.220878
10.386591,57.232670
